ID,"Question 1: Naming Style - When naming methods, the name should use a standard naming style such as camelCase or under_score; Camel case uses upper case letters for each word. Underscore uses ""_"" to separate words.",Additional Comments:,"Question 2: Verb Phrase - When naming methods, the name should always contain a verb(s) or verb phrase that refers to the behavior of the method.",Additional Comments:,"Question 3: Dictionary Terms - When naming methods, developers should use only natural language dictionary words and/or familiar/domain-relevant terms.",Additional Comments:,"Questions 4: Abbreviations - When naming methods, the chosen name should contain only known or standard (i.e., recognized by others within the company) abbreviated terms. A poor abbreviation is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Questions 5: Acronyms - When naming methods, the name should contain only known or standard (i.e, recognized by others in the company) acronyms. A poor acronyms is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Question 6: Size - When naming methods, the maximum number of words in a name should not be greater than:",Additional Comments:,"Question 7: Idioms and Slang - When naming methods, the name should not contain personal expressions, idioms, or unknown slang.",Additional Comments:,"Question 8: Grammatical Structure - When naming methods, names with multiple words should be in a grammatically correct sentence structure.",Additional Comments:,"Question 9: Full Words - When naming methods, the name should use full words rather than a single letter to clearly indicate the task of the method.",Additional Comments:,"Question 10: Prefix/Suffix - When naming methods, the name should not contain a prefix/suffix that is a term from the system. This standard does not apply to languages such as C that do not have namespaces.",Additional Comments:,"Is there any other method naming standards that you feel are important?  If so, please provide some details of the standard.","Coding Standards - At your place of work, are there strict naming conventions in their coding standards?",Please give a short description of the naming coding standards you use:,Which programming language are you familiar with? - Selected Choice,Which programming language are you familiar with? - Other language? Please specify below. - Text,How many years of programming experience do you have?
1058,Strongly Agree,It increases readability a lot,Agree,,Strongly Agree,,Strongly Agree,,Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,We stick to PHP PSR guidelines use use camel case and snake case for DB parameters ,"Java,JavaScript,Other language? Please specify below.","PHP, Ruby, Swift, Rust, Golang",5 - 9 years
1059,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,9,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.","PHP, Perl",10+ years
1060,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,7,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,,Strict,,"Python,JavaScript,Other language? Please specify below.",PHP,5 - 9 years
1061,Strongly Agree,,Strongly Agree,,Agree,Gets fuzzy with abbreviations,Strongly Agree,In IDEs with IntelliSense or alike there should be less need for abbreviations,Strongly Agree,Only the first letter of an acronym should be capitalized (getUrl and not getURL),7,"When in doubt, fall back to the average human stack size for a maximum (definitely not a recommendation, but a limit).",Agree,Better to have 5 lones of comment explaining the method than having a 15 word method name.,Agree,Framework/Pattern conventions have preference over this rule.,Strongly Agree,Single letter names are for loop variables.,Strongly Agree,,"Don't add visibility to the name (public/private). Use the same language throughout the code. Prefix test methods with 'test'. Use patterns (buolder, factory, etc.), and relate the names.",Strict,,"C++,Python,Java,C#,JavaScript",,5 - 9 years
1062,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,JavaScript,,10+ years
1063,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Agree,,8,,Disagree,,Agree,,Agree,,Agree,,,Very Strict,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.","Go, typescript, PHP, Kotlin, Scala, Haskell",10+ years
1064,Strongly Agree,I use PascalCase,Agree,,Strongly Agree,,Agree,,Strongly Agree,,9,,Agree,,Agree,,Strongly Agree,,Agree,,Always prefix boolean expressions with Is- or Has-,Slightly Strict,,"C#,JavaScript",,10+ years
1065,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Agree,,Agree,,12,,Disagree,,Agree,,Agree,,Agree,,Name functions so they work in the context they're used.,Strict,,"Python,C,C#,JavaScript,Other language? Please specify below.",Smalltalk. Lisp,5 - 9 years
1066,Strongly Agree,I call it snake_case,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,7,,Strongly Agree,,Agree,Can be avoided when to lengthy,Strongly Agree,,Agree,,"Consistency (i. e. the same thing will be named the same everywhere (Connection, Database, DataManager, ORM... I'm looking at you :@)",Strict,camelcase and default sonarlint java rules,"Python,Java,JavaScript",,3 - 4 years
1067,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,,,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,,Slightly Strict,,"Java,C,C#,JavaScript",,3 - 4 years
1068,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,,Strict,,"Java,C#,JavaScript",,10+ years
1069,Disagree,Disagree on the _ for separating words as it makes reading more dificult. Agree on the rest.,Strongly Agree,,Strongly Agree,If not there is no way to get an idea of what the method does,Agree,"It's a delicate question, as one abbreviation may be clear for.some but unknown for some others.",Strongly Agree,,15,Better descriptive even if it's a little long.,Strongly Agree,,Strongly Agree,It helps a lot the readability.,Agree,In short loops or short lambda functions may not be necessary as they are generally really short.,Disagree,In some cases it helps to identify the component the developer is referring to,,No Standards,Tried to adhere to an standard but the use of multiple languages in multiple projects make it difficult.,"C#,JavaScript",,10+ years
1070,Strongly Agree,,Agree,,Agree,,Disagree,,Agree,,6,,Strongly Agree,,Disagree,,Strongly Agree,,Disagree,,,Strict,,"C++,C,C#,JavaScript,Other language? Please specify below.",Prolog,10+ years
1071,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,3,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"Python,Java,C",,10+ years
1072,Agree,,Strongly Agree,A method name needs to be descriptive,Strongly Agree,,Agree,Sometimes it's an Open Source project. People will need to learn what the abbreviations mean,Strongly Agree,,4,"The name says 'what' the function does, not 'how' it does it",Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,Java,JavaScript,Other language? Please specify below.",Dart,1 - 2 years
1073,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,Agree,,4,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,,Strict,,"C#,JavaScript",,5 - 9 years
1074,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"C,C#,JavaScript,Other language? Please specify below.","F#, Haskell",5 - 9 years
1075,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,Java,C#,JavaScript,Other language? Please specify below.","Typescript, php,",5 - 9 years
1076,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,6,,Disagree,,Disagree,Sometimes code completion grouping is more important ,Strongly Agree,,Agree,,,Strict,,"Python,Java,C#",,10+ years
1077,Strongly Agree,,Disagree,sometimes it's more useful to make the method after what it returns not an action,Strongly Agree,names should always be meaningful,Strongly Agree,,Agree,,5,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,Strict,,"Python,Java,JavaScript",,10+ years
1078,Strongly Agree,"And it should use the same naming style as the rest of the codebase. i.e. use ""getFullName(), getScriptState(), isNameValid()"" or ""call_with_default(), garbage_collection() and check_static_allocation_size()"" but not both together",Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,"I think you should also keep acronyms in your company jargon list well trimmed and as paired back as possible. Sometimes they're necessary, but often the reason for an acronym is that someone couldn't describe their concept concisely so gave it a long winded name (What if we ""check fields before submission""; OK, let's call this the ""CFBSHelper.class"" when it should be called ""Validation.class"")",4,"The main problem with returnfalseifnosetterwasfoundandifreportnosetterfoundisfalse IMO isn't the length of the name, it's the fact that it doesn't follow other normal conventions & is describing what not why — return_false_if_no_setter_was_found_and_if_reportNoSetterFound_is_false — is longer but not half as bad ",Strongly Agree,,Agree,"Mostly agree. Can lead to weird boolean names, especially if you want them to be structured as a yes/no answer",Strongly Agree,,Strongly Agree,,"Method names should follow language conventions and the principle of ""least surprise"", e.g. Java uses ""getter and setter"" methods to provide controlled access to encapsulated members; if you have a method called ""getFoo"", it might reasonably fetch & then cache it; but if you had a method ""setBar"" that wipes out all other fields, this would be very unusual and counterintuitive.  Developers should try to reuse the same verbs for the same types of actions — ""createFoo(); createBar(); createBaz()""; not ""createFoo(); makeBar(); instantiateBaz()"". More along class names but applying to methods too — avoid vague weasel words like ""helper"", ""utils"". Any vague terms should be well understood within the team to always do the same thing",Slightly Strict,,"Java,JavaScript",,10+ years
1079,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Disagree,,Agree,,Strongly Agree,,"Method names should always be in english, regardless of what language the programmer speaks.",Strict,We use linters to check casing and nothing else.,"Python,C,JavaScript,Other language? Please specify below.",go,5 - 9 years
1080,Agree,,Disagree,,Agree,,Agree,,Disagree,,4,,Agree,,Agree,,Agree,,Agree,,,No Standards,,"C++,Java,JavaScript,Other language? Please specify below.","Haxe
Objective-C",10+ years
1081,Strongly Agree,,Disagree,,Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Very Strict,,"C++,Java,C,JavaScript,Other language? Please specify below.",scala,10+ years
1082,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"Java,JavaScript",,10+ years
1083,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C++,Python,Java,C",,10+ years
1084,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,30 max,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,No Standards,camel case ,Java,,10+ years
1085,Strongly Agree,,Agree,"Some exceptions apply, e.g. ""XXtoYY()"" is clear enough, no need to use ""converXXtoYY()"" or other verbs.",Agree,Project-specific terms are also acceptable.,Strongly Agree,"Some abbreviations make sense in context of the class - i.e. in a game, an InventoryItem class has no business having a ""protocol"", so ""proto"" for ""prototype"" could be acceptable.",Agree,Project-specific acronyms may sometimes be ok.,5,"Short names can make sense in a class context, e.g. a very specialized class like ""FileFinder"" could have simply ""find()"".",Agree,"I'd argue that project-specific slang is ok, if it allows the team to work better. (Though yes, it does increase the learning curve for newcomers).",Strongly Agree,,Agree,Strongly agree for public APIs. The approach can be more lenient for private methods.,Strongly Agree,,,No Standards,"There are no official conventions, but all code goes through review, so there are some unspoken rules about.","C,JavaScript,Other language? Please specify below.","PHP, Pascal",10+ years
1086,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Clean Code conventions,Not Strict,,"Python,Java,C#,JavaScript",,5 - 9 years
1087,Agree,,Agree,Not always ,Strongly Agree,,Agree,,Agree,,3,,Strongly Agree,,Disagree,,Agree,,Strongly Agree,,,Slightly Strict,,"Python,Java,C",,3 - 4 years
1088,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Java,C,C#,JavaScript,Other language? Please specify below.","kotlin
typescript
php",10+ years
1089,Strongly Agree,,Agree,read accessors may not need the 'get_',Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,"yes, but also: get-foo-from-bar, not bar-to-foo, so when we write the_foo = obj.get-foo-from-bar(the_bar) the whole thing scans nicely",Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C++,Python,Java,C,JavaScript,Other language? Please specify below.",perl,10+ years
1090,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C++,C,Other language? Please specify below.",Go,5 - 9 years
1091,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,JavaScript,,10+ years
1092,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,5,,Strongly Agree,,Disagree,,Strongly Agree,,,,,Strict,,"Java,Other language? Please specify below.","Objective-C, Swift",10+ years
1093,Agree,,Disagree,,Agree,,Strongly Agree,,Strongly Agree,,15,If more text made the name clearer,Agree,,Disagree,,Strongly Agree,,Disagree,,,Not Strict,,"Java,Other language? Please specify below.","Kotlin, Scala ",10+ years
1094,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,,Slightly Strict,,"Java,C#,JavaScript",,10+ years
1095,Strongly Agree,Use the popular standard for your language.  Words always delimited with upper case or underscore.  Never run together.,Strongly Agree,Yes but don’t like “manage” not specific enough.  I don’t like “get” for anything other than simple getters.  Prefer “fetch” for data retrieved from db or remote service.,Strongly Agree,"Absolutely.  All method names, even private must be descriptive.",Strongly Agree,"Yup, or avoid abbreviations altogether.  Good IDE autocomplete makes short method names less important.",Agree,"Yes, or don’t abbreviate.",5,"Long is better than short, but excessively long is also hard to read.   ",Strongly Agree,"If the name isn’t totally clear to everyone on the team, it’s a bad name.",Agree,"Prefer gramatically correct, but unambiguous is more important.",Strongly Agree,Longer is better.,Agree,"Namespace with namespaces, not in function names.",I like this post https://chrisdone.com/posts/german-naming-convention/#german-naming-convention,No Standards,I like the PSR (PHP) standards.  But they are not enforced as an organisational requirement.,"Python,JavaScript,Other language? Please specify below.",PHP ,10+ years
1096,Strongly Agree,Pascal case only for c# methods. ,Strongly Agree,,Agree,,Strongly Agree,,Agree,,4,,Agree,,Agree,,Strongly Agree,,Agree,,Method should describe what it does so that a comment is not needed. Code should self document. ,Strict,,"C#,JavaScript",,10+ years
1097,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"C++,Java,JavaScript",,10+ years
1098,Strongly Agree,,Agree,,Disagree,,Agree,,Agree,,3,,Disagree,,Disagree,,Agree,,Agree,,,Strict,,C,,5 - 9 years
1099,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"C++,Python,C,C#,JavaScript",,10+ years
1100,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,Java,JavaScript",,1 - 2 years
1101,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,"Most of these need some nuance. In this case, one persons standard acronyms won’t line up with the next’s.",8,I don’t think there should be a hard limit.,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,C",,5 - 9 years
1102,Strongly Disagree,Only on c linux,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,https://docs.microsoft.com/en-us/dotnet/standard/design-guidelines/naming-guidelines,Strict,https://docs.microsoft.com/en-us/dotnet/standard/design-guidelines/naming-guidelines,C#,,10+ years
1103,Strongly Agree,,Disagree,"onStart, onClick",Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Strongly Agree,,Disagree,,Agree,,Agree,,,No Standards,,"Java,Other language? Please specify below.",Swift,5 - 9 years
1104,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,,No Standards,,"Python,Other language? Please specify below.","PHP, Haskell",10+ years
1105,Strongly Agree,,Disagree,,Agree,"Some codes are well known internally, but generally this rule seems correct",Agree,,Disagree,,13,,Strongly Agree,,Disagree,,Agree,,Agree,,,Slightly Strict,"Camel case in Typescript, Pascal case for JavaScript/Typescript","C#,JavaScript,Other language? Please specify below.",Typescript,10+ years
1106,Agree,In test classes containing multiple tests i often see addition of underscore ,Agree,,Agree,,Disagree,If context makes abbrevation obvious its fine,Agree,,4,,Agree,,Agree,,Strongly Agree,,Disagree,,,Strict,,C#,,5 - 9 years
1107,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,JavaScript",,5 - 9 years
1108,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,11,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Python,Java,C,JavaScript",,3 - 4 years
1109,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,get_algo() is a bad example of a good example,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,"Powershell naming method. Clear,concise, easy to remember",No Standards,Would but they are all over the place. 3 different names for services that should be one as an example,C#,,3 - 4 years
1110,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,4,,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Only Engish words. Methods should also match arguments/return types. For example isRequired is the name of method that returns true/false,Slightly Strict,Official from Java,Java,,10+ years
1111,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,Very Strict,,Java,,10+ years
1112,Strongly Agree,And keep it consistent throughout a codebase ,Agree,"For me, it is ok not to follow this rule for pure getters ",Strongly Agree,,Strongly Agree,Should be kept to a minimum. I almost always spell out things instead of abbreviating ,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,"For me scope is also important when judging a name. The more public a method the better the name should be. Also, In statically types languages, oftentimes the types reveal more than the method names.",Strict,,"C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.",Scala,10+ years
1113,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Strict,,"C++,Python,Java,C,C#,JavaScript",,10+ years
1114,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,"We use the Google coding standards for C/C++, enforcement is not strict, but everyone seems to follow them.","C++,Python,C,Other language? Please specify below.",Ruby,10+ years
1115,Strongly Agree,,Disagree,,Disagree,,Disagree,,Agree,,15,,Disagree,,Agree,,Disagree,,Agree,,,Not Strict,,"Python,Java,C#,JavaScript",,10+ years
